power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
19.93 W, 6 MiB, 0 %, 0 %
19.93 W, 6 MiB, 0 %, 0 %
19.93 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
19.93 W, 6 MiB, 0 %, 0 %
19.84 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
19.93 W, 6 MiB, 0 %, 0 %
19.93 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
19.93 W, 6 MiB, 0 %, 0 %
22.26 W, 19 MiB, 0 %, 0 %
53.59 W, 80 MiB, 0 %, 0 %
59.72 W, 80 MiB, 1 %, 0 %
60.88 W, 80 MiB, 1 %, 0 %
61.17 W, 151 MiB, 0 %, 0 %
62.12 W, 147 MiB, 5 %, 0 %
61.65 W, 147 MiB, 5 %, 0 %
67.51 W, 147 MiB, 6 %, 3 %
64.90 W, 147 MiB, 6 %, 3 %
68.28 W, 147 MiB, 5 %, 3 %
82.55 W, 147 MiB, 27 %, 14 %
69.69 W, 147 MiB, 27 %, 14 %
86.79 W, 147 MiB, 33 %, 17 %
77.57 W, 147 MiB, 33 %, 17 %
84.96 W, 147 MiB, 33 %, 17 %
69.32 W, 147 MiB, 32 %, 16 %
86.87 W, 147 MiB, 32 %, 16 %
74.97 W, 147 MiB, 34 %, 18 %
78.54 W, 147 MiB, 34 %, 18 %
81.80 W, 147 MiB, 32 %, 16 %
70.96 W, 147 MiB, 32 %, 16 %
85.44 W, 147 MiB, 32 %, 16 %
70.00 W, 147 MiB, 39 %, 20 %
87.18 W, 147 MiB, 39 %, 20 %
76.71 W, 147 MiB, 32 %, 16 %
79.41 W, 148 MiB, 32 %, 16 %
79.02 W, 148 MiB, 32 %, 16 %
78.93 W, 148 MiB, 30 %, 13 %
78.25 W, 148 MiB, 30 %, 13 %
77.86 W, 148 MiB, 27 %, 12 %
77.38 W, 148 MiB, 27 %, 12 %
77.29 W, 149 MiB, 36 %, 17 %
71.54 W, 149 MiB, 31 %, 14 %
78.25 W, 149 MiB, 31 %, 14 %
72.60 W, 149 MiB, 33 %, 15 %
76.25 W, 149 MiB, 33 %, 15 %
73.74 W, 149 MiB, 27 %, 12 %
73.67 W, 149 MiB, 27 %, 12 %
74.61 W, 149 MiB, 26 %, 11 %
71.64 W, 149 MiB, 29 %, 11 %
71.83 W, 149 MiB, 29 %, 11 %
71.25 W, 149 MiB, 29 %, 11 %
73.28 W, 149 MiB, 29 %, 11 %
72.21 W, 150 MiB, 29 %, 11 %
72.61 W, 150 MiB, 25 %, 10 %
70.29 W, 150 MiB, 25 %, 10 %
69.80 W, 151 MiB, 24 %, 8 %
69.22 W, 151 MiB, 24 %, 8 %
68.74 W, 151 MiB, 25 %, 8 %
69.82 W, 151 MiB, 24 %, 8 %
71.35 W, 151 MiB, 24 %, 8 %
70.38 W, 151 MiB, 29 %, 9 %
69.61 W, 151 MiB, 29 %, 9 %
68.57 W, 151 MiB, 24 %, 8 %
70.58 W, 151 MiB, 24 %, 8 %
71.54 W, 151 MiB, 24 %, 8 %
70.67 W, 151 MiB, 29 %, 9 %
69.23 W, 151 MiB, 29 %, 9 %
70.48 W, 151 MiB, 23 %, 8 %
71.25 W, 151 MiB, 23 %, 8 %
70.87 W, 151 MiB, 28 %, 9 %
68.37 W, 151 MiB, 25 %, 8 %
70.10 W, 151 MiB, 25 %, 8 %
63.39 W, 147 MiB, 21 %, 7 %
61.55 W, 80 MiB, 21 %, 7 %
7.947300672531128
