power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.03 W, 6 MiB, 0 %, 0 %
20.23 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.22 W, 7 MiB, 0 %, 0 %
44.44 W, 3681 MiB, 0 %, 0 %
65.09 W, 3681 MiB, 19 %, 1 %
67.49 W, 3681 MiB, 91 %, 5 %
67.97 W, 3681 MiB, 91 %, 5 %
68.16 W, 3681 MiB, 91 %, 5 %
100.09 W, 3681 MiB, 91 %, 5 %
114.47 W, 3681 MiB, 95 %, 20 %
117.83 W, 3681 MiB, 100 %, 35 %
118.22 W, 3681 MiB, 100 %, 35 %
118.60 W, 3681 MiB, 100 %, 35 %
118.80 W, 3681 MiB, 100 %, 35 %
118.70 W, 3681 MiB, 100 %, 35 %
94.80 W, 81 MiB, 100 %, 35 %
72.97 W, 81 MiB, 98 %, 40 %
69.22 W, 81 MiB, 100 %, 6 %
68.74 W, 81 MiB, 100 %, 6 %
3.103200674057007
