power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.03 W, 6 MiB, 0 %, 0 %
21.87 W, 17 MiB, 0 %, 0 %
20.42 W, 17 MiB, 0 %, 0 %
20.22 W, 17 MiB, 0 %, 0 %
20.22 W, 17 MiB, 0 %, 0 %
20.32 W, 17 MiB, 0 %, 0 %
20.32 W, 17 MiB, 0 %, 0 %
20.12 W, 19 MiB, 0 %, 0 %
89.30 W, 369 MiB, 0 %, 0 %
136.65 W, 369 MiB, 68 %, 56 %
102.01 W, 369 MiB, 68 %, 56 %
137.90 W, 369 MiB, 75 %, 65 %
136.30 W, 369 MiB, 98 %, 87 %
143.69 W, 369 MiB, 98 %, 87 %
141.94 W, 369 MiB, 98 %, 87 %
128.01 W, 369 MiB, 98 %, 87 %
146.18 W, 369 MiB, 98 %, 87 %
134.10 W, 369 MiB, 98 %, 87 %
150.40 W, 369 MiB, 98 %, 87 %
144.01 W, 369 MiB, 98 %, 87 %
154.65 W, 369 MiB, 98 %, 87 %
151.47 W, 369 MiB, 98 %, 87 %
133.08 W, 369 MiB, 98 %, 87 %
157.13 W, 369 MiB, 98 %, 87 %
139.87 W, 369 MiB, 98 %, 87 %
146.94 W, 369 MiB, 98 %, 87 %
148.19 W, 369 MiB, 100 %, 96 %
126.01 W, 369 MiB, 100 %, 96 %
144.45 W, 369 MiB, 98 %, 86 %
147.90 W, 369 MiB, 100 %, 96 %
148.29 W, 369 MiB, 100 %, 96 %
140.92 W, 369 MiB, 98 %, 86 %
147.23 W, 369 MiB, 98 %, 86 %
148.19 W, 369 MiB, 100 %, 96 %
130.78 W, 369 MiB, 100 %, 96 %
146.17 W, 369 MiB, 98 %, 86 %
148.00 W, 369 MiB, 100 %, 96 %
142.87 W, 369 MiB, 100 %, 96 %
143.32 W, 369 MiB, 98 %, 86 %
147.81 W, 369 MiB, 98 %, 86 %
148.19 W, 369 MiB, 100 %, 96 %
138.87 W, 369 MiB, 98 %, 86 %
146.75 W, 369 MiB, 98 %, 86 %
148.10 W, 369 MiB, 100 %, 96 %
125.36 W, 369 MiB, 100 %, 96 %
145.50 W, 369 MiB, 98 %, 86 %
148.09 W, 369 MiB, 98 %, 86 %
148.38 W, 369 MiB, 100 %, 96 %
141.37 W, 369 MiB, 98 %, 86 %
147.61 W, 369 MiB, 98 %, 86 %
148.19 W, 369 MiB, 100 %, 96 %
98.44 W, 80 MiB, 100 %, 96 %
5.188939332962036
