power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.23 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.23 W, 6 MiB, 0 %, 0 %
35.78 W, 843 MiB, 0 %, 0 %
62.81 W, 843 MiB, 21 %, 1 %
110.37 W, 843 MiB, 21 %, 1 %
116.57 W, 843 MiB, 96 %, 14 %
117.72 W, 843 MiB, 100 %, 19 %
118.30 W, 843 MiB, 100 %, 19 %
118.20 W, 843 MiB, 100 %, 20 %
118.30 W, 843 MiB, 100 %, 20 %
118.37 W, 843 MiB, 100 %, 19 %
118.57 W, 843 MiB, 100 %, 19 %
118.47 W, 843 MiB, 100 %, 19 %
118.66 W, 843 MiB, 100 %, 20 %
118.76 W, 843 MiB, 100 %, 20 %
118.66 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.76 W, 843 MiB, 100 %, 20 %
118.66 W, 843 MiB, 100 %, 20 %
118.76 W, 843 MiB, 100 %, 20 %
118.66 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.95 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
118.95 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.95 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.43 W, 843 MiB, 100 %, 20 %
119.43 W, 843 MiB, 100 %, 21 %
119.24 W, 843 MiB, 100 %, 21 %
119.14 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.43 W, 843 MiB, 100 %, 20 %
119.33 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
111.14 W, 843 MiB, 100 %, 18 %
116.95 W, 843 MiB, 100 %, 18 %
118.11 W, 843 MiB, 100 %, 19 %
118.28 W, 843 MiB, 100 %, 19 %
118.47 W, 843 MiB, 100 %, 19 %
118.47 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.57 W, 843 MiB, 100 %, 20 %
118.66 W, 843 MiB, 100 %, 20 %
118.85 W, 843 MiB, 100 %, 20 %
118.57 W, 843 MiB, 100 %, 20 %
118.76 W, 843 MiB, 100 %, 19 %
118.85 W, 843 MiB, 100 %, 19 %
118.95 W, 843 MiB, 100 %, 19 %
119.05 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.33 W, 843 MiB, 100 %, 20 %
119.33 W, 843 MiB, 100 %, 20 %
119.05 W, 843 MiB, 100 %, 20 %
119.33 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
119.14 W, 843 MiB, 100 %, 20 %
119.33 W, 843 MiB, 100 %, 20 %
119.24 W, 843 MiB, 100 %, 20 %
119.33 W, 843 MiB, 100 %, 20 %
119.53 W, 843 MiB, 100 %, 20 %
