topN,train_accuracy,test_accuracy
2.0,0.7972222222222223,0.7833333333333333
3.0,0.8018518518518518,0.7916666666666666
4.0,0.7944444444444444,0.7805555555555556
5.0,0.7944444444444444,0.7805555555555556
6.0,0.7916666666666666,0.7833333333333333
7.0,0.8472222222222222,0.8527777777777777
8.0,0.8425925925925926,0.8416666666666667
9.0,0.8407407407407408,0.8416666666666667
10.0,0.8611111111111112,0.8694444444444445
11.0,0.8564814814814815,0.8638888888888889
12.0,0.8546296296296296,0.8666666666666667
13.0,0.8546296296296296,0.8611111111111112
14.0,0.8731481481481481,0.8861111111111111
15.0,0.8722222222222222,0.8833333333333333
16.0,0.875,0.8833333333333333
17.0,0.9064814814814814,0.9138888888888889
18.0,0.8972222222222223,0.9083333333333333
19.0,0.8981481481481481,0.9083333333333333
20.0,0.9018518518518519,0.9111111111111111
