app,metric,errorType
alignedTypes1,special_fu_utilization,No metric
alignedTypes1,global_hit_rate,No metric
alignedTypes1,shared_utilization,No metric
alignedTypes1,local_hit_rate,No metric
alignedTypes2,special_fu_utilization,No metric
alignedTypes2,global_hit_rate,No metric
alignedTypes2,shared_utilization,No metric
alignedTypes2,local_hit_rate,No metric
alignedTypes3,special_fu_utilization,No metric
alignedTypes3,global_hit_rate,No metric
alignedTypes3,shared_utilization,No metric
alignedTypes3,local_hit_rate,No metric
alignedTypes4,special_fu_utilization,No metric
alignedTypes4,global_hit_rate,No metric
alignedTypes4,shared_utilization,No metric
alignedTypes4,local_hit_rate,No metric
alignedTypes5,special_fu_utilization,No metric
alignedTypes5,global_hit_rate,No metric
alignedTypes5,shared_utilization,No metric
alignedTypes5,local_hit_rate,No metric
alignedTypes6,special_fu_utilization,No metric
alignedTypes6,global_hit_rate,No metric
alignedTypes6,shared_utilization,No metric
alignedTypes6,local_hit_rate,No metric
alignedTypes7,special_fu_utilization,No metric
alignedTypes7,global_hit_rate,No metric
alignedTypes7,shared_utilization,No metric
alignedTypes7,local_hit_rate,No metric
alignedTypes8,special_fu_utilization,No metric
alignedTypes8,global_hit_rate,No metric
alignedTypes8,shared_utilization,No metric
alignedTypes8,local_hit_rate,No metric
alignedTypes9,special_fu_utilization,No metric
alignedTypes9,global_hit_rate,No metric
alignedTypes9,shared_utilization,No metric
alignedTypes9,local_hit_rate,No metric
alignedTypes10,special_fu_utilization,No metric
alignedTypes10,global_hit_rate,No metric
alignedTypes10,shared_utilization,No metric
alignedTypes10,local_hit_rate,No metric
atax1,special_fu_utilization,No metric
atax1,global_hit_rate,No metric
atax1,shared_utilization,No metric
atax1,local_hit_rate,No metric
atax2,special_fu_utilization,No metric
atax2,global_hit_rate,No metric
atax2,shared_utilization,No metric
atax2,local_hit_rate,No metric
atax3,special_fu_utilization,No metric
atax3,global_hit_rate,No metric
atax3,shared_utilization,No metric
atax3,local_hit_rate,No metric
atax4,special_fu_utilization,No metric
atax4,global_hit_rate,No metric
atax4,shared_utilization,No metric
atax4,local_hit_rate,No metric
atax5,special_fu_utilization,No metric
atax5,global_hit_rate,No metric
atax5,shared_utilization,No metric
atax5,local_hit_rate,No metric
atax6,special_fu_utilization,No metric
atax6,global_hit_rate,No metric
atax6,shared_utilization,No metric
atax6,local_hit_rate,No metric
atax7,special_fu_utilization,No metric
atax7,global_hit_rate,No metric
atax7,shared_utilization,No metric
atax7,local_hit_rate,No metric
atax8,special_fu_utilization,No metric
atax8,global_hit_rate,No metric
atax8,shared_utilization,No metric
atax8,local_hit_rate,No metric
atax9,special_fu_utilization,No metric
atax9,global_hit_rate,No metric
atax9,shared_utilization,No metric
atax9,local_hit_rate,No metric
atax10,special_fu_utilization,No metric
atax10,global_hit_rate,No metric
atax10,shared_utilization,No metric
atax10,local_hit_rate,No metric
b+tree1,special_fu_utilization,No metric
b+tree1,global_hit_rate,No metric
b+tree1,shared_utilization,No metric
b+tree1,local_hit_rate,No metric
b+tree2,special_fu_utilization,No metric
b+tree2,global_hit_rate,No metric
b+tree2,shared_utilization,No metric
b+tree2,local_hit_rate,No metric
b+tree3,special_fu_utilization,No metric
b+tree3,global_hit_rate,No metric
b+tree3,shared_utilization,No metric
b+tree3,local_hit_rate,No metric
b+tree4,special_fu_utilization,No metric
b+tree4,global_hit_rate,No metric
b+tree4,shared_utilization,No metric
b+tree4,local_hit_rate,No metric
b+tree5,special_fu_utilization,No metric
b+tree5,global_hit_rate,No metric
b+tree5,shared_utilization,No metric
b+tree5,local_hit_rate,No metric
b+tree6,special_fu_utilization,No metric
b+tree6,global_hit_rate,No metric
b+tree6,shared_utilization,No metric
b+tree6,local_hit_rate,No metric
b+tree7,special_fu_utilization,No metric
b+tree7,global_hit_rate,No metric
b+tree7,shared_utilization,No metric
b+tree7,local_hit_rate,No metric
b+tree8,special_fu_utilization,No metric
b+tree8,global_hit_rate,No metric
b+tree8,shared_utilization,No metric
b+tree8,local_hit_rate,No metric
b+tree9,special_fu_utilization,No metric
b+tree9,global_hit_rate,No metric
b+tree9,shared_utilization,No metric
b+tree9,local_hit_rate,No metric
b+tree10,special_fu_utilization,No metric
b+tree10,global_hit_rate,No metric
b+tree10,shared_utilization,No metric
b+tree10,local_hit_rate,No metric
b+tree11,special_fu_utilization,No metric
b+tree11,global_hit_rate,No metric
b+tree11,shared_utilization,No metric
b+tree11,local_hit_rate,No metric
bicg1,special_fu_utilization,No metric
bicg1,global_hit_rate,No metric
bicg1,shared_utilization,No metric
bicg1,local_hit_rate,No metric
bicg2,special_fu_utilization,No metric
bicg2,global_hit_rate,No metric
bicg2,shared_utilization,No metric
bicg2,local_hit_rate,No metric
bicg3,special_fu_utilization,No metric
bicg3,global_hit_rate,No metric
bicg3,shared_utilization,No metric
bicg3,local_hit_rate,No metric
bicg4,special_fu_utilization,No metric
bicg4,global_hit_rate,No metric
bicg4,shared_utilization,No metric
bicg4,local_hit_rate,No metric
bicg5,special_fu_utilization,No metric
bicg5,global_hit_rate,No metric
bicg5,shared_utilization,No metric
bicg5,local_hit_rate,No metric
bicg6,special_fu_utilization,No metric
bicg6,global_hit_rate,No metric
bicg6,shared_utilization,No metric
bicg6,local_hit_rate,No metric
bicg7,special_fu_utilization,No metric
bicg7,global_hit_rate,No metric
bicg7,shared_utilization,No metric
bicg7,local_hit_rate,No metric
bicg8,special_fu_utilization,No metric
bicg8,global_hit_rate,No metric
bicg8,shared_utilization,No metric
bicg8,local_hit_rate,No metric
bicg9,special_fu_utilization,No metric
bicg9,global_hit_rate,No metric
bicg9,shared_utilization,No metric
bicg9,local_hit_rate,No metric
bicg10,special_fu_utilization,No metric
bicg10,global_hit_rate,No metric
bicg10,shared_utilization,No metric
bicg10,local_hit_rate,No metric
bicg11,special_fu_utilization,No metric
bicg11,global_hit_rate,No metric
bicg11,shared_utilization,No metric
bicg11,local_hit_rate,No metric
binomialOptions1,special_fu_utilization,No metric
binomialOptions1,global_hit_rate,No metric
binomialOptions1,shared_utilization,No metric
binomialOptions1,local_hit_rate,No metric
binomialOptions2,special_fu_utilization,No metric
binomialOptions2,global_hit_rate,No metric
binomialOptions2,shared_utilization,No metric
binomialOptions2,local_hit_rate,No metric
binomialOptions3,special_fu_utilization,No metric
binomialOptions3,global_hit_rate,No metric
binomialOptions3,shared_utilization,No metric
binomialOptions3,local_hit_rate,No metric
binomialOptions4,special_fu_utilization,No metric
binomialOptions4,global_hit_rate,No metric
binomialOptions4,shared_utilization,No metric
binomialOptions4,local_hit_rate,No metric
binomialOptions5,special_fu_utilization,No metric
binomialOptions5,global_hit_rate,No metric
binomialOptions5,shared_utilization,No metric
binomialOptions5,local_hit_rate,No metric
binomialOptions6,special_fu_utilization,No metric
binomialOptions6,global_hit_rate,No metric
binomialOptions6,shared_utilization,No metric
binomialOptions6,local_hit_rate,No metric
binomialOptions7,special_fu_utilization,No metric
binomialOptions7,global_hit_rate,No metric
binomialOptions7,shared_utilization,No metric
binomialOptions7,local_hit_rate,No metric
binomialOptions8,special_fu_utilization,No metric
binomialOptions8,global_hit_rate,No metric
binomialOptions8,shared_utilization,No metric
binomialOptions8,local_hit_rate,No metric
binomialOptions9,special_fu_utilization,No metric
binomialOptions9,global_hit_rate,No metric
binomialOptions9,shared_utilization,No metric
binomialOptions9,local_hit_rate,No metric
binomialOptions10,special_fu_utilization,No metric
binomialOptions10,global_hit_rate,No metric
binomialOptions10,shared_utilization,No metric
binomialOptions10,local_hit_rate,No metric
BlackScholes1,special_fu_utilization,No metric
BlackScholes1,global_hit_rate,No metric
BlackScholes1,shared_utilization,No metric
BlackScholes1,local_hit_rate,No metric
BlackScholes2,special_fu_utilization,No metric
BlackScholes2,global_hit_rate,No metric
BlackScholes2,shared_utilization,No metric
BlackScholes2,local_hit_rate,No metric
BlackScholes3,special_fu_utilization,No metric
BlackScholes3,global_hit_rate,No metric
BlackScholes3,shared_utilization,No metric
BlackScholes3,local_hit_rate,No metric
BlackScholes4,special_fu_utilization,No metric
BlackScholes4,global_hit_rate,No metric
BlackScholes4,shared_utilization,No metric
BlackScholes4,local_hit_rate,No metric
BlackScholes5,special_fu_utilization,No metric
BlackScholes5,global_hit_rate,No metric
BlackScholes5,shared_utilization,No metric
BlackScholes5,local_hit_rate,No metric
BlackScholes6,special_fu_utilization,No metric
BlackScholes6,global_hit_rate,No metric
BlackScholes6,shared_utilization,No metric
BlackScholes6,local_hit_rate,No metric
BlackScholes7,special_fu_utilization,No metric
BlackScholes7,global_hit_rate,No metric
BlackScholes7,shared_utilization,No metric
BlackScholes7,local_hit_rate,No metric
BlackScholes8,special_fu_utilization,No metric
BlackScholes8,global_hit_rate,No metric
BlackScholes8,shared_utilization,No metric
BlackScholes8,local_hit_rate,No metric
BlackScholes9,special_fu_utilization,No metric
BlackScholes9,global_hit_rate,No metric
BlackScholes9,shared_utilization,No metric
BlackScholes9,local_hit_rate,No metric
BlackScholes10,special_fu_utilization,No metric
BlackScholes10,global_hit_rate,No metric
BlackScholes10,shared_utilization,No metric
BlackScholes10,local_hit_rate,No metric
BlackScholes11,special_fu_utilization,No metric
BlackScholes11,global_hit_rate,No metric
BlackScholes11,shared_utilization,No metric
BlackScholes11,local_hit_rate,No metric
c++11_cuda1,special_fu_utilization,No metric
c++11_cuda1,global_hit_rate,No metric
c++11_cuda1,gld_efficiency,Internal profiling error
c++11_cuda1,shared_utilization,No metric
c++11_cuda1,local_hit_rate,No metric
c++11_cuda1,local_memory_overhead,Internal profiling error
c++11_cuda2,special_fu_utilization,No metric
c++11_cuda2,global_hit_rate,No metric
c++11_cuda2,gld_efficiency,Internal profiling error
c++11_cuda2,shared_utilization,No metric
c++11_cuda2,local_hit_rate,No metric
c++11_cuda2,local_memory_overhead,Internal profiling error
c++11_cuda4,special_fu_utilization,No metric
c++11_cuda4,global_hit_rate,No metric
c++11_cuda4,gld_efficiency,Internal profiling error
c++11_cuda4,shared_utilization,No metric
c++11_cuda4,local_hit_rate,No metric
c++11_cuda5,special_fu_utilization,No metric
c++11_cuda5,global_hit_rate,No metric
c++11_cuda5,shared_utilization,No metric
c++11_cuda5,local_hit_rate,No metric
c++11_cuda6,special_fu_utilization,No metric
c++11_cuda6,global_hit_rate,No metric
c++11_cuda6,gld_efficiency,Internal profiling error
c++11_cuda6,shared_utilization,No metric
c++11_cuda6,local_hit_rate,No metric
c++11_cuda6,local_memory_overhead,Internal profiling error
c++11_cuda7,special_fu_utilization,No metric
c++11_cuda7,global_hit_rate,No metric
c++11_cuda7,shared_utilization,No metric
c++11_cuda7,local_hit_rate,No metric
c++11_cuda8,special_fu_utilization,No metric
c++11_cuda8,global_hit_rate,No metric
c++11_cuda8,gld_efficiency,Internal profiling error
c++11_cuda8,shared_utilization,No metric
c++11_cuda8,local_hit_rate,No metric
c++11_cuda8,local_memory_overhead,Internal profiling error
c++11_cuda9,special_fu_utilization,No metric
c++11_cuda9,global_hit_rate,No metric
c++11_cuda9,gld_efficiency,Internal profiling error
c++11_cuda9,shared_utilization,No metric
c++11_cuda9,local_hit_rate,No metric
c++11_cuda9,local_memory_overhead,Internal profiling error
c++11_cuda10,special_fu_utilization,No metric
c++11_cuda10,global_hit_rate,No metric
c++11_cuda10,gld_efficiency,Internal profiling error
c++11_cuda10,shared_utilization,No metric
c++11_cuda10,local_hit_rate,No metric
c++11_cuda10,local_memory_overhead,Internal profiling error
c++11_cuda11,special_fu_utilization,No metric
c++11_cuda11,global_hit_rate,No metric
c++11_cuda11,gld_efficiency,Internal profiling error
c++11_cuda11,shared_utilization,No metric
c++11_cuda11,local_hit_rate,No metric
c++11_cuda11,local_memory_overhead,Internal profiling error
cdpAdvancedQuicksort1,special_fu_utilization,No metric
cdpAdvancedQuicksort1,global_hit_rate,No metric
cdpAdvancedQuicksort1,shared_utilization,No metric
cdpAdvancedQuicksort1,local_hit_rate,No metric
cdpAdvancedQuicksort2,special_fu_utilization,No metric
cdpAdvancedQuicksort2,global_hit_rate,No metric
cdpAdvancedQuicksort2,shared_utilization,No metric
cdpAdvancedQuicksort2,local_hit_rate,No metric
cdpAdvancedQuicksort3,special_fu_utilization,No metric
cdpAdvancedQuicksort3,global_hit_rate,No metric
cdpAdvancedQuicksort3,shared_utilization,No metric
cdpAdvancedQuicksort3,local_hit_rate,No metric
cdpAdvancedQuicksort4,special_fu_utilization,No metric
cdpAdvancedQuicksort4,global_hit_rate,No metric
cdpAdvancedQuicksort4,shared_utilization,No metric
cdpAdvancedQuicksort4,local_hit_rate,No metric
cdpAdvancedQuicksort5,special_fu_utilization,No metric
cdpAdvancedQuicksort5,global_hit_rate,No metric
cdpAdvancedQuicksort5,shared_utilization,No metric
cdpAdvancedQuicksort5,local_hit_rate,No metric
cdpAdvancedQuicksort6,special_fu_utilization,No metric
cdpAdvancedQuicksort6,global_hit_rate,No metric
cdpAdvancedQuicksort6,shared_utilization,No metric
cdpAdvancedQuicksort6,local_hit_rate,No metric
cdpAdvancedQuicksort7,special_fu_utilization,No metric
cdpAdvancedQuicksort7,global_hit_rate,No metric
cdpAdvancedQuicksort7,shared_utilization,No metric
cdpAdvancedQuicksort7,local_hit_rate,No metric
cdpAdvancedQuicksort8,special_fu_utilization,No metric
cdpAdvancedQuicksort8,global_hit_rate,No metric
cdpAdvancedQuicksort8,shared_utilization,No metric
cdpAdvancedQuicksort8,local_hit_rate,No metric
cdpAdvancedQuicksort9,special_fu_utilization,No metric
cdpAdvancedQuicksort9,global_hit_rate,No metric
cdpAdvancedQuicksort9,shared_utilization,No metric
cdpAdvancedQuicksort9,local_hit_rate,No metric
cdpAdvancedQuicksort10,special_fu_utilization,No metric
cdpAdvancedQuicksort10,global_hit_rate,No metric
cdpAdvancedQuicksort10,shared_utilization,No metric
cdpAdvancedQuicksort10,local_hit_rate,No metric
cdpAdvancedQuicksort11,special_fu_utilization,No metric
cdpAdvancedQuicksort11,global_hit_rate,No metric
cdpAdvancedQuicksort11,shared_utilization,No metric
cdpAdvancedQuicksort11,local_hit_rate,No metric
cdpAdvancedQuicksort12,special_fu_utilization,No metric
cdpAdvancedQuicksort12,global_hit_rate,No metric
cdpAdvancedQuicksort12,shared_utilization,No metric
cdpAdvancedQuicksort12,local_hit_rate,No metric
cdpAdvancedQuicksort13,special_fu_utilization,No metric
cdpAdvancedQuicksort13,global_hit_rate,No metric
cdpAdvancedQuicksort13,shared_utilization,No metric
cdpAdvancedQuicksort13,local_hit_rate,No metric
cdpBezierTessellation1,special_fu_utilization,No metric
cdpBezierTessellation1,global_hit_rate,No metric
cdpBezierTessellation1,shared_utilization,No metric
cdpBezierTessellation1,local_hit_rate,No metric
