topN,train_accuracy,test_accuracy
2.0,0.8685185313224792,0.8722222447395325
3.0,0.9222221970558167,0.9222221970558167
4.0,0.9287037253379822,0.9305555820465088
5.0,0.9138888716697693,0.9416666626930237
6.0,0.914814829826355,0.9416666626930237
7.0,0.9379629492759705,0.9333333373069763
8.0,0.9287037253379822,0.9138888716697693
9.0,0.9287037253379822,0.9222221970558167
10.0,0.9537037014961243,0.9666666388511658
11.0,0.9750000238418579,0.980555534362793
12.0,0.960185170173645,0.9694444537162781
13.0,0.9648148417472839,0.9638888835906982
14.0,0.9592592716217041,0.9722222089767456
15.0,0.9379629492759705,0.9555555582046509
16.0,0.9712963104248047,0.980555534362793
17.0,0.9620370268821716,0.9722222089767456
18.0,0.9546296000480652,0.9638888835906982
19.0,0.9638888835906982,0.9777777791023254
20.0,0.9546296000480652,0.9583333134651184
