matrixMul,7,matrixMul, -wA=6144 -hA=6144 -wB=6144 -hB=6144
matrixMul,8,matrixMul, -wA=7168 -hA=7168 -wB=7168 -hB=7168
matrixMul,9,matrixMul, -wA=8192 -hA=8192 -wB=8192 -hB=8192
matrixMul,10,matrixMul, -wA=9216 -hA=9216 -wB=9216 -hB=9216
matrixMul,11,matrixMul, -wA=10240 -hA=10240 -wB=10240 -hB=10240
mergeSort,1,mergeSort,1
mergeSort,2,mergeSort,2
mergeSort,3,mergeSort,3
mergeSort,4,mergeSort,4
mergeSort,5,mergeSort,5
mergeSort,6,mergeSort,6
mergeSort,7,mergeSort,7
mergeSort,8,mergeSort,8
mergeSort,9,mergeSort,16
mergeSort,10,mergeSort,32
MonteCarloMultiGPU,1,MonteCarloMultiGPU,-size=20
MonteCarloMultiGPU,2,MonteCarloMultiGPU,-size=40
MonteCarloMultiGPU,3,MonteCarloMultiGPU,-size=60
MonteCarloMultiGPU,4,MonteCarloMultiGPU,-size=80
MonteCarloMultiGPU,5,MonteCarloMultiGPU,-size=100
MonteCarloMultiGPU,6,MonteCarloMultiGPU,-size=120
MonteCarloMultiGPU,7,MonteCarloMultiGPU,-size=140
MonteCarloMultiGPU,8,MonteCarloMultiGPU,-size=160
MonteCarloMultiGPU,9,MonteCarloMultiGPU,-size=180
MonteCarloMultiGPU,10,MonteCarloMultiGPU,-size=200
mri-gridding,1,mri-gridding,small.uks output.txt
mri-q,1,mri-q,64_64_64_dataset.bin out.bin
mri-q,2,mri-q,32_32_32_dataset.bin out.bin
mst,1,mst,rmat12.sym.gr
mum,1,mum,./data/NC_003997.20k.fna ./data/NC_003997_q25bp.50k.fna
mum,2,mum,./data/NC_003997.20k.fna ./data/sample0.fna
mum,3,mum,./data/NC_003997.20k.fna ./data/sample1.fna
mum,4,mum,./data/NC_003997.20k.fna ./data/sample2.fna
mum,5,mum,./data/NC_003997.20k.fna ./data/sample3.fna
mum,6,mum,./data/NC_003997.20k.fna ./data/sample4.fna
mum,7,mum,./data/NC_003997.20k.fna ./data/sample5.fna
mum,8,mum,./data/NC_003997.20k.fna ./data/sample6.fna
mum,9,mum,./data/NC_003997.20k.fna ./data/sample7.fna
mvt,1,mvt32768 ,
mvt,2,mvt10240 ,
mvt,3,mvt20480 ,
mvt,4,mvt30720 ,
mvt,5,mvt40960 ,
mvt,6,mvt20000 ,
mvt,7,mvt40000 ,
mvt,8,mvt36000 ,
mvt,9,mvt24000 ,
mvt,10,mvt16384,
myocyte,1,myocyte,100 1 1
myocyte,2,myocyte,100 1 0
myocyte,3,myocyte,1000 10 0
myocyte,4,myocyte,1000 10 1
myocyte,5,myocyte,200 10 0
myocyte,6,myocyte,200 10 0
myocyte,7,myocyte,300 1 1
myocyte,8,myocyte,300 1 0
myocyte,9,myocyte,100 10 1
myocyte,10,myocyte,100 10 0
newdelete,1,newdelete,
nn,1,nn,filelist_4 -r 5 -lat 30 -lng 90
nn,2,nn,list64k.txt -r 5 -lat 30 -lng 60
nn,3,nn,list128k.txt -r 5 -lat 50 -lng 90
nn,4,nn,list512k.txt -r 5 -lat 40 -lng 90
nn,5,nn,list1024k.txt -r 5 -lat 30 -lng 20
nn,6,nn,list2048k.txt -r 5 -lat 30 -lng 70
nn,7,nn,list4096k.txt -r 5 -lat 20 -lng 40
nn,8,nn,list8192k.txt -r 5 -lat 30 -lng 50
nn,9,nn,list16384k.txt -r 5 -lat 30 -lng 60
nn,10,nn,list32768k.txt -r 5 -lat 50 -lng 60
nw,1,nw,3072 10
nw,2,nw,4096 10
nw,3,nw,5120 10
nw,4,nw,6144 10
nw,5,nw,7168 10
nw,6,nw,8192 10
nw,7,nw,9216 10
nw,8,nw,10240 10
nw,9,nw,11264 10
nw,10,nw,16384 10
particlefilter,1,particlefilter,-x 128 -y 128 -z 10 -np 1000
particlefilter,2,particlefilter,-x 128 -y 128 -z 10 -np 2000
particlefilter,3,particlefilter,-x 128 -y 128 -z 10 -np 3000
particlefilter,4,particlefilter,-x 128 -y 128 -z 10 -np 4000
particlefilter,5,particlefilter,-x 256 -y 256 -z 10 -np 1000
particlefilter,6,particlefilter,-x 256 -y 256 -z 10 -np 2000
particlefilter,7,particlefilter,-x 256 -y 256 -z 10 -np 3000
particlefilter,8,particlefilter,-x 256 -y 256 -z 10 -np 4000
particlefilter,9,particlefilter,-x 512 -y 512 -z 10 -np 2000
particlefilter,10,particlefilter,-x 512 -y 512 -z 10 -np 4000
particlefilter,11,particlefilter,-x 512 -y 512 -z 10 -np 6000
particlefilter,12,particlefilter,-x 512 -y 512 -z 10 -np 8000
pathfinder,1,pathfinder,100000 100 20
pathfinder,2,pathfinder,200000 100 20
pathfinder,3,pathfinder,300000 100 20
pathfinder,4,pathfinder,400000 100 20
pathfinder,5,pathfinder,100000 200 20
pathfinder,6,pathfinder,200000 200 20
pathfinder,7,pathfinder,300000 200 20
pathfinder,8,pathfinder,400000 200 20
pathfinder,9,pathfinder,400000 100 30
pathfinder,10,pathfinder,400000 200 30
ptxjit,1,ptxjit,
quasirandomGenerator,1,quasirandomGenerator,48
quasirandomGenerator,2,quasirandomGenerator,2
quasirandomGenerator,3,quasirandomGenerator,3
quasirandomGenerator,4,quasirandomGenerator,4
quasirandomGenerator,5,quasirandomGenerator,5
quasirandomGenerator,6,quasirandomGenerator,6
quasirandomGenerator,7,quasirandomGenerator,8
quasirandomGenerator,8,quasirandomGenerator,16
quasirandomGenerator,9,quasirandomGenerator,32
quasirandomGenerator,10,quasirandomGenerator,64
radixSortThrust,1,radixSortThrust,
radixSortThrust,2,radixSortThrust, -n=10485760
radixSortThrust,3,radixSortThrust, -n=10485760 -keybits=16
radixSortThrust,4,radixSortThrust, -n=10485760 -keybits=32
radixSortThrust,5,radixSortThrust, -n=10485760 -keybits=24
radixSortThrust,6,radixSortThrust, -n=20485760 -keybits=16
radixSortThrust,7,radixSortThrust, -n=20485760 -keybits=32
radixSortThrust,8,radixSortThrust, -n=20485760 -keybits=24
radixSortThrust,9,radixSortThrust, -n=30485760 -keybits=16
radixSortThrust,10,radixSortThrust, -n=30485760 -keybits=32
radixSortThrust,11,radixSortThrust, -n=30485760 -keybits=24
recursiveGaussian,1,recursiveGaussian,-image=./data/lena.ppm
recursiveGaussian,2,recursiveGaussian,-image=./data/ref_10.ppm
recursiveGaussian,3,recursiveGaussian,-image=./data/ref_14.ppm
recursiveGaussian,4,recursiveGaussian,-image=./data/ref_18.ppm
recursiveGaussian,5,recursiveGaussian,-image=./data/ref_22.ppm
